id,load_id,origin,destination,pickup_datetime,delivery_datetime,equipment_type,loadboard_rate,notes,weight,commodity_type,num_of_pieces,miles,dimensions,status,created_at,true_cost
53,L053,"Kansas City, Missouri","Dallas, Texas",2026-02-23 10:00:00,2026-02-25 18:00:00,Flatbed,1800.00,Straps required,40000,Lumber,20,490,120x48x48 inches,available,,2124.00
54,L054,"San Francisco, California","Los Angeles, California",2026-02-19 06:00:00,2026-02-19 18:00:00,Dry Van,850.00,Same day,18000,Packaged Goods,100,380,48x40x48 inches,available,,1003.00
55,L055,"Minneapolis, Minnesota","Chicago, Illinois",2026-02-21 07:00:00,2026-02-22 15:00:00,Dry Van,950.00,Standard freight,22000,Food Products,130,410,48x40x54 inches,available,,1121.00
56,L056,"Dallas, Texas","Houston, Texas",2026-02-20 08:00:00,2026-02-20 18:00:00,Tanker,1100.00,Hazmat certified required,39000,Chemicals,1,240,N/A,available,,1298.00
57,L057,"Chicago, Illinois","Minneapolis, Minnesota",2026-02-22 06:00:00,2026-02-23 14:00:00,Dry Van,1050.00,Standard freight,25000,Hardware,145,410,48x40x60 inches,available,,1239.00
58,L058,"Atlanta, Georgia","Charlotte, North Carolina",2026-02-21 09:00:00,2026-02-22 17:00:00,Dry Van,750.00,Easy run,19000,Household Goods,110,245,48x40x48 inches,available,,885.00
59,L059,"Portland, Oregon","Seattle, Washington",2026-02-20 07:00:00,2026-02-20 14:00:00,Refrigerated,600.00,Keep at 34F,16000,Vegetables,80,175,48x40x48 inches,available,,708.00
60,L060,"Nashville, Tennessee","Chicago, Illinois",2026-02-23 08:00:00,2026-02-24 20:00:00,Dry Van,1400.00,Standard freight,28000,Auto Parts,160,470,48x40x60 inches,available,,1652.00
61,L061,"Salt Lake City, Utah","Denver, Colorado",2026-02-22 09:00:00,2026-02-23 17:00:00,Dry Van,900.00,Mountain route,24000,Retail Inventory,135,370,48x40x54 inches,available,,1062.00
62,L062,"Dallas, Texas","Phoenix, Arizona",2026-02-21 07:00:00,2026-02-23 15:00:00,Dry Van,2000.00,Standard freight,31000,Consumer Electronics,175,1070,48x40x60 inches,available,,2360.00
63,L063,"Chicago, Illinois","Kansas City, Missouri",2026-02-20 08:00:00,2026-02-21 16:00:00,Dry Van,1100.00,No touch,26000,General Freight,155,500,48x40x60 inches,available,,1298.00
64,L064,"Los Angeles, California","Denver, Colorado",2026-02-22 10:00:00,2026-02-24 20:00:00,Flatbed,2500.00,Permits required,44000,Construction Equipment,3,1020,96x102x144 inches,available,,2950.00
65,L065,"Miami, Florida","Atlanta, Georgia",2026-02-19 06:00:00,2026-02-20 14:00:00,Dry Van,1300.00,Standard freight,27000,Imported Goods,165,660,48x40x60 inches,available,,1534.00
66,L066,"Seattle, Washington","Portland, Oregon",2026-02-21 08:00:00,2026-02-21 16:00:00,Dry Van,550.00,Local run,15000,Groceries,90,175,48x40x48 inches,available,,649.00
67,L067,"Houston, Texas","Dallas, Texas",2026-02-23 07:00:00,2026-02-23 15:00:00,Tanker,950.00,Non-haz liquid,38000,Industrial Oils,1,240,N/A,available,,1121.00
68,L068,"Atlanta, Georgia","Nashville, Tennessee",2026-02-20 09:00:00,2026-02-21 13:00:00,Refrigerated,850.00,Keep at 36F,21000,Meat Products,85,250,48x40x48 inches,available,,1003.00
69,L069,"Denver, Colorado","Salt Lake City, Utah",2026-02-22 08:00:00,2026-02-23 16:00:00,Dry Van,1300.00,Mountain driving,29000,Retail Goods,160,525,48x40x60 inches,available,,1534.00
70,L070,"Chicago, Illinois","Detroit, Michigan",2026-02-21 07:00:00,2026-02-22 11:00:00,Dry Van,800.00,Standard freight,22000,Auto Parts,140,280,48x40x54 inches,available,,944.00
71,L071,"Chicago, Illinois","Raleign, North Carolina",2026-02-22 08:00:00,2026-02-24 08:00:00,Dry Van,2000.00,Sports Equipment,30000,Retail Goods,50,800,48x40x60 inches,booked,2026-02-21 16:27:48,2800.00
72,L072,"Chicago, IL","Tuscaloosa, AL",2026-02-22 06:00:03,2026-02-24 18:00:12,Basketball,1500.00,Standard freight,25000,Retail Goods,200,700,48x40x60 inches,available,,2200.00
